,Seed query,Entry,Entry Name,Protein names,Gene Names,Organism,Length,Gene Ontology (biological process),Gene Ontology (cellular component),Gene Ontology (GO),Gene Ontology (molecular function),Topological domain,Transmembrane,Subcellular location [CC],Intramembrane
3,,Q5SYQ9,Q5SYQ9_HUMAN,"Aldehyde dehydrogenase 1A1 (EC 1.2.1.19) (EC 1.2.1.28) (EC 1.2.1.36) (3-deoxyglucosone dehydrogenase) (ALDH-E1) (ALHDII) (Aldehyde dehydrogenase family 1 member A1) (Aldehyde dehydrogenase, cytosolic) (Retinal dehydrogenase 1)",ALDH1A1,Homo sapiens (Human),230,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
0,"(gene:""EPHX4"")",Q8IUS5,EPHX4_HUMAN,Epoxide hydrolase 4 (EC 3.3.-.-) (Abhydrolase domain-containing protein 7) (Epoxide hydrolase-related protein),EPHX4 ABHD7 EH4 EPHXRP,Homo sapiens (Human),362,,membrane [GO:0016020],membrane [GO:0016020]; epoxide hydrolase activity [GO:0004301]; hydrolase activity [GO:0016787],epoxide hydrolase activity [GO:0004301]; hydrolase activity [GO:0016787],,"TRANSMEM 17..37; /note=""Helical; Signal-anchor for type II membrane protein""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.,
0,"(gene:""ALDH1A2"")",O94788,AL1A2_HUMAN,Retinal dehydrogenase 2 (RALDH 2) (RalDH2) (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (ALDH1A2) (Retinaldehyde-specific dehydrogenase type 2) (RALDH(II)),ALDH1A2 RALDH2,Homo sapiens (Human),518,9-cis-retinoic acid biosynthetic process [GO:0042904]; anterior/posterior pattern specification [GO:0009952]; blood vessel development [GO:0001568]; cardiac muscle tissue development [GO:0048738]; cell population proliferation [GO:0008283]; cellular response to retinoic acid [GO:0071300]; determination of bilateral symmetry [GO:0009855]; embryonic camera-type eye development [GO:0031076]; embryonic digestive tract development [GO:0048566]; embryonic forelimb morphogenesis [GO:0035115]; face development [GO:0060324]; heart morphogenesis [GO:0003007]; hindbrain development [GO:0030902]; kidney development [GO:0001822]; liver development [GO:0001889]; lung development [GO:0030324]; midgut development [GO:0007494]; morphogenesis of embryonic epithelium [GO:0016331]; negative regulation of cell population proliferation [GO:0008285]; neural crest cell development [GO:0014032]; neural tube development [GO:0021915]; neuron differentiation [GO:0030182]; pancreas development [GO:0031016]; pituitary gland development [GO:0021983]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; protein homotetramerization [GO:0051289]; proximal/distal pattern formation [GO:0009954]; regulation of vascular endothelial cell proliferation [GO:1905562]; response to cytokine [GO:0034097]; response to estradiol [GO:0032355]; response to retinoic acid [GO:0032526]; response to vitamin A [GO:0033189]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinoic acid receptor signaling pathway [GO:0048384]; retinol metabolic process [GO:0042572]; ureter maturation [GO:0035799]; vitamin A metabolic process [GO:0006776],cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471],cytoplasm [GO:0005737]; cytosol [GO:0005829]; perinuclear region of cytoplasm [GO:0048471]; 3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; retinal binding [GO:0016918]; retinal dehydrogenase activity [GO:0001758]; 9-cis-retinoic acid biosynthetic process [GO:0042904]; anterior/posterior pattern specification [GO:0009952]; blood vessel development [GO:0001568]; cardiac muscle tissue development [GO:0048738]; cell population proliferation [GO:0008283]; cellular response to retinoic acid [GO:0071300]; determination of bilateral symmetry [GO:0009855]; embryonic camera-type eye development [GO:0031076]; embryonic digestive tract development [GO:0048566]; embryonic forelimb morphogenesis [GO:0035115]; face development [GO:0060324]; heart morphogenesis [GO:0003007]; hindbrain development [GO:0030902]; kidney development [GO:0001822]; liver development [GO:0001889]; lung development [GO:0030324]; midgut development [GO:0007494]; morphogenesis of embryonic epithelium [GO:0016331]; negative regulation of cell population proliferation [GO:0008285]; neural crest cell development [GO:0014032]; neural tube development [GO:0021915]; neuron differentiation [GO:0030182]; pancreas development [GO:0031016]; pituitary gland development [GO:0021983]; positive regulation of apoptotic process [GO:0043065]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; protein homotetramerization [GO:0051289]; proximal/distal pattern formation [GO:0009954]; regulation of vascular endothelial cell proliferation [GO:1905562]; response to cytokine [GO:0034097]; response to estradiol [GO:0032355]; response to retinoic acid [GO:0032526]; response to vitamin A [GO:0033189]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinoic acid receptor signaling pathway [GO:0048384]; retinol metabolic process [GO:0042572]; ureter maturation [GO:0035799]; vitamin A metabolic process [GO:0006776],3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; retinal binding [GO:0016918]; retinal dehydrogenase activity [GO:0001758],,,SUBCELLULAR LOCATION: Cytoplasm.,
1,,H0YMG7,H0YMG7_HUMAN,Retinal dehydrogenase 2 (EC 1.2.1.36) (Aldehyde dehydrogenase family 1 member A2) (Retinaldehyde-specific dehydrogenase type 2),ALDH1A2,Homo sapiens (Human),489,,cytoplasm [GO:0005737],"cytoplasm [GO:0005737]; oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000256|ARBA:ARBA00004496}.,
2,,A0A0G2JL97,A0A0G2JL97_HUMAN,Aldehyde dehydrogenase 1 family member A2,ALDH1A2,Homo sapiens (Human),9,,,,,,,,
3,,E9PF31,E9PF31_HUMAN,Aldehyde dehydrogenase 1 family member A2,ALDH1A2,Homo sapiens (Human),40,,,,,,,,
4,,H0YKL3,H0YKL3_HUMAN,Aldehyde dehydrogenase 1 family member A2,ALDH1A2,Homo sapiens (Human),85,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
5,,H0YMT5,H0YMT5_HUMAN,Aldehyde dehydrogenase 1 family member A2,ALDH1A2,Homo sapiens (Human),24,,,,,,,,
6,,Q9UED3,Q9UED3_HUMAN,Aldehyde dehydrogenase 1 family member A2 (RALDH2-T),ALDH1A2 RALDH2,Homo sapiens (Human),25,,,,,,,,
0,"(gene:""ESD"")",P10768,ESTD_HUMAN,S-formylglutathione hydrolase (FGH) (EC 3.1.2.12) (Esterase D) (Methylumbelliferyl-acetate deacetylase) (EC 3.1.1.56),ESD,Homo sapiens (Human),282,formaldehyde catabolic process [GO:0046294],cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062],"cytoplasmic vesicle [GO:0031410]; cytosol [GO:0005829]; endoplasmic reticulum lumen [GO:0005788]; extracellular exosome [GO:0070062]; carboxylic ester hydrolase activity [GO:0052689]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]; methylumbelliferyl-acetate deacetylase activity [GO:0047374]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294]","carboxylic ester hydrolase activity [GO:0052689]; hydrolase activity, acting on ester bonds [GO:0016788]; identical protein binding [GO:0042802]; methylumbelliferyl-acetate deacetylase activity [GO:0047374]; S-formylglutathione hydrolase activity [GO:0018738]",,,SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic vesicle.,
1,,A0A140VJJ2,A0A140VJJ2_HUMAN,S-formylglutathione hydrolase (EC 3.1.2.12),ESD hCG_29992,Homo sapiens (Human),282,formaldehyde catabolic process [GO:0046294],cytosol [GO:0005829],cytosol [GO:0005829]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294],carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738],,,SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00004541}.,
2,,H7BZT7,H7BZT7_HUMAN,S-formylglutathione hydrolase (EC 3.1.2.12),ESD,Homo sapiens (Human),230,formaldehyde catabolic process [GO:0046294],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294],carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738],,,SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00004541}.,
3,,U3KQT1,U3KQT1_HUMAN,S-formylglutathione hydrolase (EC 3.1.2.12),ESD hCG_29992,Homo sapiens (Human),262,formaldehyde catabolic process [GO:0046294],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294],carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738],,,SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00004541}.,
4,,X6RA14,X6RA14_HUMAN,S-formylglutathione hydrolase (EC 3.1.2.12),ESD,Homo sapiens (Human),253,formaldehyde catabolic process [GO:0046294],cytoplasm [GO:0005737],cytoplasm [GO:0005737]; carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738]; formaldehyde catabolic process [GO:0046294],carboxylic ester hydrolase activity [GO:0052689]; S-formylglutathione hydrolase activity [GO:0018738],,,SUBCELLULAR LOCATION: Cytoplasmic vesicle {ECO:0000256|ARBA:ARBA00004541}.,
0,"(gene:""ALDH1A3"")",P47895,AL1A3_HUMAN,Retinaldehyde dehydrogenase 3 (RALDH-3) (RalDH3) (EC 1.2.1.36) (Aldehyde dehydrogenase 6) (Aldehyde dehydrogenase family 1 member A3) (ALDH1A3),ALDH1A3 ALDH6,Homo sapiens (Human),512,apoptotic process [GO:0006915]; embryonic camera-type eye development [GO:0031076]; embryonic eye morphogenesis [GO:0048048]; face development [GO:0060324]; Harderian gland development [GO:0070384]; inner ear morphogenesis [GO:0042472]; locomotory behavior [GO:0007626]; neuromuscular process controlling balance [GO:0050885]; nucleus accumbens development [GO:0021768]; olfactory pit development [GO:0060166]; optic cup morphogenesis involved in camera-type eye development [GO:0002072]; positive regulation of apoptotic process [GO:0043065]; protein homotetramerization [GO:0051289]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; righting reflex [GO:0060013],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytoplasm [GO:0005737]; cytosol [GO:0005829]; extracellular exosome [GO:0070062]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; NAD+ binding [GO:0070403]; protein homodimerization activity [GO:0042803]; retinal dehydrogenase activity [GO:0001758]; thyroid hormone binding [GO:0070324]; apoptotic process [GO:0006915]; embryonic camera-type eye development [GO:0031076]; embryonic eye morphogenesis [GO:0048048]; face development [GO:0060324]; Harderian gland development [GO:0070384]; inner ear morphogenesis [GO:0042472]; locomotory behavior [GO:0007626]; neuromuscular process controlling balance [GO:0050885]; nucleus accumbens development [GO:0021768]; olfactory pit development [GO:0060166]; optic cup morphogenesis involved in camera-type eye development [GO:0002072]; positive regulation of apoptotic process [GO:0043065]; protein homotetramerization [GO:0051289]; retinal metabolic process [GO:0042574]; retinoic acid biosynthetic process [GO:0002138]; retinoic acid metabolic process [GO:0042573]; retinol metabolic process [GO:0042572]; righting reflex [GO:0060013],aldehyde dehydrogenase (NAD+) activity [GO:0004029]; aldehyde dehydrogenase [NAD(P)+] activity [GO:0004030]; NAD+ binding [GO:0070403]; protein homodimerization activity [GO:0042803]; retinal dehydrogenase activity [GO:0001758]; thyroid hormone binding [GO:0070324],,,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q9JHW9}.,
1,,H0Y2X5,H0Y2X5_HUMAN,"Aldehyde dehydrogenase 1 family member A3 (Aldehyde dehydrogenase 1 family, member A3, isoform CRA_b)",ALDH1A3 hCG_28035,Homo sapiens (Human),405,,,"oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor [GO:0016620]",,,,
2,,H0YKF9,H0YKF9_HUMAN,Aldehyde dehydrogenase 1 family member A3,ALDH1A3,Homo sapiens (Human),144,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
3,,H0YLT1,H0YLT1_HUMAN,Aldehyde dehydrogenase 1 family member A3,ALDH1A3,Homo sapiens (Human),102,,,,,,,,
4,,H0YNQ3,H0YNQ3_HUMAN,Aldehyde dehydrogenase 1 family member A3,ALDH1A3,Homo sapiens (Human),141,,,oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
0,"(gene:""FMO1"")",Q01740,FMO1_HUMAN,Flavin-containing monooxygenase 1 (EC 1.14.13.148) (EC 1.14.13.8) (Dimethylaniline monooxygenase [N-oxide-forming] 1) (Dimethylaniline oxidase 1) (Fetal hepatic flavin-containing monooxygenase 1) (FMO 1) (Trimethylamine monooxygenase),FMO1,Homo sapiens (Human),532,energy homeostasis [GO:0097009]; NADPH oxidation [GO:0070995]; negative regulation of fatty acid oxidation [GO:0046322]; organic acid metabolic process [GO:0006082]; response to lipopolysaccharide [GO:0032496]; sulfur amino acid catabolic process [GO:0000098]; taurine biosynthetic process [GO:0042412]; toxin metabolic process [GO:0009404]; xenobiotic metabolic process [GO:0006805],endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; monooxygenase activity [GO:0004497]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; trimethylamine monooxygenase activity [GO:0034899]; energy homeostasis [GO:0097009]; NADPH oxidation [GO:0070995]; negative regulation of fatty acid oxidation [GO:0046322]; organic acid metabolic process [GO:0006082]; response to lipopolysaccharide [GO:0032496]; sulfur amino acid catabolic process [GO:0000098]; taurine biosynthetic process [GO:0042412]; toxin metabolic process [GO:0009404]; xenobiotic metabolic process [GO:0006805]","flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; monooxygenase activity [GO:0004497]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; trimethylamine monooxygenase activity [GO:0034899]","TOPO_DOM 2..510; /note=""Lumenal""; /evidence=""ECO:0000250|UniProtKB:P16549""; TOPO_DOM 532; /note=""Cytoplasmic""; /evidence=""ECO:0000250|UniProtKB:P16549""","TRANSMEM 511..531; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P36365}; Single-pass membrane protein {ECO:0000255}.,
1,,A0A1W2PNR8,A0A1W2PNR8_HUMAN,Flavin-containing monooxygenase (EC 1.-.-.-),FMO1,Homo sapiens (Human),126,,endoplasmic reticulum [GO:0005783]; membrane [GO:0016020],"endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]","flavin adenine dinucleotide binding [GO:0050660]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,,,
2,,L8E7C3,L8E7C3_HUMAN,Alternative protein FMO1,FMO1,Homo sapiens (Human),66,,,,,,,,
0,"(gene:""ALDH1B1"")",P30837,AL1B1_HUMAN,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase 5) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1 ALDH5 ALDHX,Homo sapiens (Human),517,carbohydrate metabolic process [GO:0005975]; ethanol catabolic process [GO:0006068],cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],cytosol [GO:0005829]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; NAD binding [GO:0051287]; carbohydrate metabolic process [GO:0005975]; ethanol catabolic process [GO:0006068],aldehyde dehydrogenase (NAD+) activity [GO:0004029]; glyceraldehyde-3-phosphate dehydrogenase (NAD+) (non-phosphorylating) activity [GO:0043878]; NAD binding [GO:0051287],,,SUBCELLULAR LOCATION: Mitochondrion matrix.,
1,,A0A0U1RQK9,A0A0U1RQK9_HUMAN,"Aldehyde dehydrogenase X, mitochondrial (EC 1.2.1.3) (Aldehyde dehydrogenase family 1 member B1)",ALDH1B1,Homo sapiens (Human),130,,cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654],cytosol [GO:0005829]; mitochondrion [GO:0005739]; nucleoplasm [GO:0005654]; oxidoreductase activity [GO:0016491],oxidoreductase activity [GO:0016491],,,,
0,"(gene:""FMO2"")",P31512,FMO4_HUMAN,Dimethylaniline monooxygenase [N-oxide-forming] 4 (EC 1.14.13.8) (Dimethylaniline oxidase 4) (Hepatic flavin-containing monooxygenase 4) (FMO 4),FMO4 FMO2,Homo sapiens (Human),558,energy homeostasis [GO:0097009]; negative regulation of fatty acid oxidation [GO:0046322]; xenobiotic catabolic process [GO:0042178],endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; energy homeostasis [GO:0097009]; negative regulation of fatty acid oxidation [GO:0046322]; xenobiotic catabolic process [GO:0042178]","flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,"TRANSMEM 517..537; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:Q8K4B7}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q8K4B7}; Single-pass membrane protein {ECO:0000255}.,
1,,Q99518,FMO2_HUMAN,Flavin-containing monooxygenase 2 (EC 1.14.13.-) (Dimethylaniline oxidase 2) (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2) (FMO 2),FMO2,Homo sapiens (Human),535,energy homeostasis [GO:0097009]; NADP metabolic process [GO:0006739]; NADPH oxidation [GO:0070995]; negative regulation of fatty acid oxidation [GO:0046322]; organic acid metabolic process [GO:0006082]; oxygen metabolic process [GO:0072592]; toxin metabolic process [GO:0009404]; xenobiotic metabolic process [GO:0006805],endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020],"endoplasmic reticulum membrane [GO:0005789]; membrane [GO:0016020]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]; energy homeostasis [GO:0097009]; NADP metabolic process [GO:0006739]; NADPH oxidation [GO:0070995]; negative regulation of fatty acid oxidation [GO:0046322]; organic acid metabolic process [GO:0006082]; oxygen metabolic process [GO:0072592]; toxin metabolic process [GO:0009404]; xenobiotic metabolic process [GO:0006805]","flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,"TRANSMEM 510..530; /note=""Helical""; /evidence=""ECO:0000255""",SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:P17635}; Single-pass membrane protein {ECO:0000255}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P17635}; Single-pass membrane protein {ECO:0000255}.,
2,,A0A0D9SFZ0,A0A0D9SFZ0_HUMAN,Dimethylaniline oxidase 2 (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2),FMO2,Homo sapiens (Human),153,,endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]","flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}. Microsome membrane {ECO:0000256|ARBA:ARBA00004111}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004111}.,
3,,A0A0D9SG76,A0A0D9SG76_HUMAN,Dimethylaniline oxidase 2 (FMO 1B1) (Pulmonary flavin-containing monooxygenase 2),FMO2,Homo sapiens (Human),131,,endoplasmic reticulum membrane [GO:0005789],"endoplasmic reticulum membrane [GO:0005789]; flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]","flavin adenine dinucleotide binding [GO:0050660]; hypotaurine dehydrogenase activity [GO:0047822]; N,N-dimethylaniline monooxygenase activity [GO:0004499]; NADP binding [GO:0050661]",,,SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000256|ARBA:ARBA00004389}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004389}. Membrane {ECO:0000256|ARBA:ARBA00004167}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004167}. Microsome membrane {ECO:0000256|ARBA:ARBA00004111}; Single-pass membrane protein {ECO:0000256|ARBA:ARBA00004111}.,
0,"(gene:""ALDH1L1"")",O75891,AL1L1_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase (10-FTHFDH) (FDH) (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),ALDH1L1 FTHFD,Homo sapiens (Human),902,10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; NADPH regeneration [GO:0006740]; one-carbon metabolic process [GO:0006730],cytosol [GO:0005829]; extracellular exosome [GO:0070062],cytosol [GO:0005829]; extracellular exosome [GO:0070062]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; NADPH regeneration [GO:0006740]; one-carbon metabolic process [GO:0006730],aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155],,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:19933275}.",
1,,A0A0S2Z527,A0A0S2Z527_HUMAN,Cytosolic 10-formyltetrahydrofolate dehydrogenase (EC 1.5.1.6) (Aldehyde dehydrogenase family 1 member L1),ALDH1L1,Homo sapiens (Human),555,10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730],cytosol [GO:0005829],cytosol [GO:0005829]; aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; biosynthetic process [GO:0009058]; one-carbon metabolic process [GO:0006730],aldehyde dehydrogenase (NAD+) activity [GO:0004029]; formyltetrahydrofolate dehydrogenase activity [GO:0016155],,,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000256|ARBA:ARBA00004514}.",
2,,A0A0S2Z586,A0A0S2Z586_HUMAN,formyltetrahydrofolate dehydrogenase (EC 1.5.1.6),ALDH1L1,Homo sapiens (Human),505,10-formyltetrahydrofolate catabolic process [GO:0009258]; one-carbon metabolic process [GO:0006730],cytosol [GO:0005829],cytosol [GO:0005829]; formyltetrahydrofolate dehydrogenase activity [GO:0016155]; methionyl-tRNA formyltransferase activity [GO:0004479]; 10-formyltetrahydrofolate catabolic process [GO:0009258]; one-carbon metabolic process [GO:0006730],formyltetrahydrofolate dehydrogenase activity [GO:0016155]; methionyl-tRNA formyltransferase activity [GO:0004479],,,,
3,,C9IZ36,C9IZ36_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),177,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,,,,
4,,C9JY00,C9JY00_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),157,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,,,,
5,,C9JYZ6,C9JYZ6_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),168,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,biosynthetic process [GO:0009058]; small molecule metabolic process [GO:0044281],,,,,
6,,D6RFJ7,D6RFJ7_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),100,biosynthetic process [GO:0009058],,biosynthetic process [GO:0009058],,,,,
7,,F2Z324,F2Z324_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),47,,,,,,,,
8,,F8WC34,F8WC34_HUMAN,Aldehyde dehydrogenase 1 family member L1,ALDH1L1,Homo sapiens (Human),81,,,,,,,,
